key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
favoritesEmployees,Favorites tab,Holiči,Barbers,,,,
favoritesFilterAll,Favorites tab,Vše,All,,,,
favoritesFilterEmpty,Favorites tab,V tomto filtru nemáte oblíbené,No favorites in this filter,,,,
favoritesNoFavoritesYet,Favorites tab,Zatím nemáte oblíbené,No favorites yet,,,,
favoritesServices,Favorites tab,Služby,Services,,,,
favoritesShare,Favorites,Sdílet,Share,,,,
favoritesSheetContinueBrowsing,Favorites tab,Pokračovat v prohlížení,Continue Browsing,,,,
favoritesSheetMessageAdded,Favorites tab,bylo přidáno do vašich oblíbených.,has been added to your favourites.,,,,
favoritesSheetMessageRemoved,Favorites tab,bylo odebráno z vašich oblíbených.,has been removed from your favourites.,,,,
favoritesSheetTitleAdded,Favorites tab,Přidáno do oblíbených,Added to Favourites,,,,
favoritesSheetTitleRemoved,Favorites tab,Odebráno z oblíbených,Removed from Favourites,,,,
favoritesSheetViewFavourites,Favorites tab,Zobrazit oblíbené,View Favourites,,,,
favoritesShowMap,Favorites,Zobrazit mapu,Show map,,,,
favoritesTabTitle,Favorites tab,Oblíbené,Favorites,,,,
favoritesTitle,Favorites,Oblíbené,Favorite List,,,,
filtersAdditionalOptions,Filters,Další možnosti,Additional Options,,,,
filtersAirCompressors,Filters (extra),Kompresory,Air compressors,,,,
filtersAirConditioning,Filters (extra),Klimatizace,Air conditioning,,,,
filtersAmenities,Filters,Vybavení,Amenities,,,,
filtersAmenitiesLayout,Filters,Vybavení a uspořádání,Amenities and layout,,,,
filtersApply,Filters,Použít filtry,Apply Filters,,,,
filtersAtLeast,Filters,Alespoň,At least,,,,
filtersBranchSize,Filters,Velikost pobočky (m²),Branch size (m²),,,,
filtersCardPayment,Filters,Platba kartou,Card payment,,,,
filtersCoffeeMachine,Filters,Kávovar,Coffee machine,,,,
filtersElectricallyAdjustableChairs,Filters (extra),Elektricky nastavitelné křesla,Electrically adjustable chairs,,,,
filtersNumberChairs,Filters,Počet křesel,Number of chairs,,,,
filtersNumberWashBasins,Filters,Počet umyvadel,Number of wash basins,,,,
filtersParking,Filters (extra),Parkoviště,Parking,,,,
filtersSelfServiceCheckout,Filters (extra),Samoobslužná pokladna,Self-service checkout,,,,
filtersTitle,Filters,Filtry,Filters,,,,
filtersWheelchairAccessible,Filters,Bezbariérový přístup,Wheelchair accessible,,,,
filtersWifi,Filters (extra),Wifi,Wifi,,,,
filtersWithin100mBus,Filters (extra),Do 100 m od autobusu,Within 100m of bus stop,,,,
filtersWithin100mMetro,Filters (extra),Do 100 m od metra,Within 100m of metro,,,,
filtersWithin100mTram,Filters (extra),Do 100 m od tramvaje,Within 100m of tram stop,,,,
forgotPasswordBackToLogin,Auth,Zpět na přihlášení,Back to login,,,,
forgotPasswordEmail,Auth,E-mail,Email,,,,
forgotPasswordSendRequest,Auth,Odeslat žádost,Send request,,,,
guideMyHaircutsGotIt,"""Guide ""What's My style for""""",Rozumím,Got it,,,,
guideMyHaircutsNext,"""Guide ""What's My style for""""",Další,Next,,,,
guidesLoading,Guides,Načítání průvodců…,Loading guides…,,,,
guidesNoGuides,Guides,Zatím žádní průvodci.,No guides yet.,,,,
haircutAdd,Haircut,Přidat střih,Add haircut,,,,
haircutBarber,Haircut form,Holič,Barber,,,,
haircutCreateAddPhoto,Add property steps & texts,Přidat fotku,Add photo,,,,
haircutCreateAddPhotos,Add property steps & texts,Přidat fotky účesu,Add haircut photos,,,,
haircutCreateAmenityCameBack,Add property – features/amenities (step 4),Vrátil jsem se k němu,Came back to it,,,,
haircutCreateAmenityLongLasting,Add property – features/amenities (step 4),Dlouho vydrží,Long lasting,,,,
haircutCreateAmenityLowMaintenance,Add property – features/amenities (step 4),Nízká údržba,Low maintenance,,,,
haircutCreateAmenityMyFavourite,Add property – features/amenities (step 4),Můj oblíbený účes,My favourite haircut,,,,
haircutCreateAmenityNoDryHair,Add property – features/amenities (step 4),Nemusím sušit vlasy,Don't need to dry hair,,,,
haircutCreateAmenityPeopleCompliment,Add property – features/amenities (step 4),"""Účes, za který se chválí""",Haircut people compliment most,,,,
haircutCreateAmenityRecommendedByBarber,Add property – features/amenities (step 4),Doporučil holič,Recommended by barber,,,,
haircutCreateAmenityRequiresStyling,Add property – features/amenities (step 4),Vyžaduje styling,Requires styling,,,,
haircutCreateAmenitySomethingNew,Add property – features/amenities (step 4),Zkouším něco nového,Trying something new,,,,
haircutCreateAmenityStyling,Add property – features/amenities (step 4),Styling,Styling,,,,
haircutCreateAmenityWantToTry,Add property – features/amenities (step 4),Chci vyzkoušet,Want to try,,,,
haircutCreateAmenityWithBeard,Add property – features/amenities (step 4),Sluší s vousy,Looks good with beard,,,,
haircutCreateAtLeastOnePhoto,Add property steps & texts,Aspoň jedna fotka pomůže. Další můžete doplnit později.,At least one photo helps. You can add more or edit later.,,,,
haircutCreateBasicDetails,Add property steps & texts,Základní údaje o účesu,Basic haircut details,,,,
haircutCreateChooseOption,Add property steps & texts,"""Vyberte možnost, která vám nejvíc sedí""",Choose the option that fits you best,,,,
haircutCreateChooseSeason,Add property steps & texts,"""Vyberte, kdy tento účes nosíte nejvíc""",Choose when you wear this haircut most,,,,
haircutCreateCongratulations,Add property steps & texts,Gratulujeme!,Congratulations!,,,,
haircutCreateCutSaveFailed,Add property steps & texts,Účes se nepodařilo uložit. Zkuste to prosím znovu.,Could not save your haircut. Please try again.,,,,
haircutCreateDescription,Add property / haircut,Popis,Description,,,,
haircutCreateDifficulty,Add property / haircut,Obtížnost,Difficulty,,,,
haircutCreateEasyTitle,Add property steps & texts,Přidat účes je snadné,It's easy to add your haircut,,,,
haircutCreateFillLengths,Add property steps & texts,Vyplňte délky a jak často chodíte na úpravu,Fill in lengths and how often to refresh the cut,,,,
haircutCreateForWhichSeason,Add property steps & texts,Pro jaké období?,For which season?,,,,
haircutCreateHowDemanding,Add property steps & texts,Jak náročný je účes na styling a kdo vám ho dělal?,How demanding is the haircut to style and who did it for you?,,,,
haircutCreateHowOftenTrim,Add property steps & texts,Jak často na úpravu?,How often to trim?,,,,
haircutCreateLengthAtEars,Add property steps & texts,Délka u uší,Length at ears,,,,
haircutCreateLengthCm,Add property steps & texts,Délka v cm,Length in cm,,,,
haircutCreateLengthOnTop,Add property steps & texts,Délka nahoře,Length on top,,,,
haircutCreateLetsGo,Add property steps & texts,Jdeme na to,Let's go,,,,
haircutCreateLoginRequired,Add property steps & texts,Pro uložení účesu se prosím přihlaste.,Log in to save your haircut.,,,,
haircutCreateNowName,Add property steps & texts,Pojmenujte svůj účes,Now name your haircut,,,,
haircutCreateSeasonAllYear,Add property – seasons (step 2),Celoroční,All-year,,,,
haircutCreateSeasonAllYearDesc,Add property – seasons (step 2),Nosíte ho pořád.,You wear it all the time.,,,,
haircutCreateSeasonSummer,Add property – seasons (step 2),Letní,Summer,,,,
haircutCreateSeasonSummerDesc,Add property – seasons (step 2),Účes pro teplé měsíce.,Haircut for warm months.,,,,
haircutCreateSeasonWinter,Add property – seasons (step 2),Zimní,Winter,,,,
haircutCreateSeasonWinterDesc,Add property – seasons (step 2),Účes pro chladné počasí.,Haircut for cold weather.,,,,
haircutCreateSelectBarber,Add property / haircut,"""Vyberte, kdo vám stříhal""",Select who did your haircut,,,,
haircutCreateShortName,Add property steps & texts,Stačí krátký název. Můžete ho kdykoli změnit.,A short name is enough. You can change it anytime.,,,,
haircutCreateStep1Desc,Add property steps & texts,Vymyslete název a vytvořte.,Come up with a name and create.,,,,
haircutCreateStep1Title,Add property steps & texts,Vytvořte si účes,Create your haircut,,,,
haircutCreateStep2Desc,Add property steps & texts,"""Přidejte fotky, popis, preference—přesně jak to chcete vy.""","""Add photos, description, your preferences—exactly how YOU want it.""",,,,
haircutCreateStep2Title,Add property steps & texts,Nastavte pravidla pro váš účes,Set the rules for your haircut,,,,
haircutCreateStep3Desc,Add property steps & texts,Získejte vysněný střih a nemusíte nikomu nic vysvětlovat.,Get your dream fresh cut and don't explain a thing to anyone.,,,,
haircutCreateStep3Title,Add property steps & texts,Dokončete a uložte,Finish and save,,,,
haircutCreateStepBasics,Add property steps & texts,Základní údaje,Basics,,,,
haircutCreateStepFeatures,Add property steps & texts,Vlastnosti,Features,,,,
haircutCreateStepHaircutType,Add property steps & texts,Typ účesu,Haircut type,,,,
haircutCreateStepPhotos,Add property steps & texts,Fotky,Photos,,,,
haircutCreateStepSeason,Add property steps & texts,Období,Season,,,,
haircutCreateStepStyling,Add property steps & texts,Styling a holič,Styling & stylist,,,,
haircutCreateStepSuccess,Add property steps & texts,Hotovo,Success,,,,
haircutCreateStepTitleDesc,Add property steps & texts,Název a popis,Title & Description,,,,
haircutCreateStylingDifficulty,Add property steps & texts,Náročnost stylingu a holič,Styling difficulty and stylist,,,,
haircutCreateSuccessMessage,Add property steps & texts,"""Už jen krůček, klikni na Dokončit a prohlédni si svůj účes.""",Just one more step — tap Complete and take a look at your haircut.,,,,
haircutCreateTakePhoto,Add property steps & texts,Vyfotit,Take photo,,,,
haircutCreateTitle,Add property / haircut,Název,Title,,,,
haircutCreateTitleQuickIdeas,Add property steps & texts,Tipy — klepnutím doplníte název,Quick ideas — tap to fill the name,,,,
haircutCreateTitleSuggestAntiGravity,Add property steps & texts,Antigravitační pokus,Anti-gravity experiment,,,,
haircutCreateTitleSuggestBrainBurst,Add property steps & texts,Mozkový výboj 3000,Brain blast 3000,,,,
haircutCreateTitleSuggestChaosChic,Add property steps & texts,Chaos chic,Chaos chic,,,,
haircutCreateTitleSuggestCtrlVFade,Add property steps & texts,Ctrl+C Ctrl+V fade,Ctrl+C Ctrl+V fade,,,,
haircutCreateTitleSuggestExperimentWrong,Add property steps & texts,Experiment gone wrong,Experiment gone wrong,,,,
haircutCreateTitleSuggestExplosionMess,Add property steps & texts,Rozcuch po výbuchu,Messy after the blast,,,,
haircutCreateTitleSuggestFiveMinRush,Add property steps & texts,Rychlovka na 5 minut,Five-minute rush job,,,,
haircutCreateTitleSuggestForestHermit,Add property steps & texts,Lesní poustevník,Forest hermit,,,,
haircutCreateTitleSuggestGandalfUnfinished,Add property steps & texts,Nedokončený Gandalf (👀),Unfinished Gandalf (👀),,,,
haircutCreateTitleSuggestHedgehogTemu,Add property steps & texts,Na ježka z Temu,Temu hedgehog chic,,,,
haircutCreateTitleSuggestLostComb,Add property steps & texts,Ztracený hřeben,Lost comb,,,,
haircutCreateTitleSuggestMorningPanic,Add property steps & texts,Ranní panika deluxe,Morning panic deluxe,,,,
haircutCreateTitleSuggestNaturalDisaster,Add property steps & texts,Přírodní katastrofa,Natural disaster,,,,
haircutCreateTitleSuggestNoIdeaHolds,Add property steps & texts,"""Nevím, co dělám, ale drží to""",No idea what I'm doing but it holds,,,,
haircutCreateTitleSuggestStaticElegance,Add property steps & texts,Statická elegance,Static elegance,,,,
haircutCreateTitleSuggestStrongerWind,Add property steps & texts,Vítr byl silnější,The wind was stronger,,,,
haircutCreateTitleSuggestVikingParty,Add property steps & texts,Viking po flámu,Viking after the party,,,,
haircutCreateTypeCasual,Add property – haircut types (step 1),Casual,Casual,,,,
haircutCreateTypeLonger,Add property – haircut types (step 1),Delší,Longer,,,,
haircutCreateTypeMediumLength,Add property – haircut types (step 1),Střední délka,Medium length,,,,
haircutCreateTypeModern,Add property – haircut types (step 1),Moderní,Modern,,,,
haircutCreateTypeOffice,Add property – haircut types (step 1),Do kanceláře,Office,,,,
haircutCreateTypeRetro,Add property – haircut types (step 1),Retro,Retro,,,,
haircutCreateTypeShorter,Add property – haircut types (step 1),Kratší,Shorter,,,,
haircutCreateTypeSporty,Add property – haircut types (step 1),Sportovní,Sporty,,,,
haircutCreateWeeksToComeIn,Add property steps & texts,Každých kolik týdnů přijít,Every how many weeks to come in,,,,
haircutCreateWeeksUnit,Add property steps & texts,týdnů,weeks,,,,
haircutCreateWhatDescribes,Add property steps & texts,Co nejlépe vystihuje váš účes?,What best describes your haircut?,,,,
haircutCreateWhatGoesWith,Add property steps & texts,Co k účesu patří?,What goes with this haircut?,,,,
haircutDetailCreatedAtPrefix,Trip detail / Booking detail,Datum vytvoření účesu,Haircut created,,,,
haircutDetailCreatedDateLabel,Trip detail / Booking detail,Datum,Date,,,,
haircutDetailCreatedTimeLabel,Trip detail / Booking detail,Čas,Time,,,,
haircutDetailCreatedWith,Trip detail / Booking detail,Účes jsme vytvořili s,We created this haircut with,,,,
haircutDetailNoteTitle,Trip detail / Booking detail,Podrobnosti účesu,Haircut details,,,,
haircutDetailPhotoUploadFailed,Trip detail / Booking detail,Fotku se nepodařilo nahrát. Zkuste to znovu.,Could not upload the photo. Please try again.,,,,
haircutDetailPhotosEmpty,Trip detail / Booking detail,Žádné fotky u tohoto účesu.,No photos for this haircut yet.,,,,
haircutDetailPhotosSection,Trip detail / Booking detail,Obrázky účesu,Haircut photos,,,,
haircutName,Haircut form,Název,Name,,,,
haircutNameLabel,Haircut form,Název účesu,Haircut name,,,,
haircutNote,Haircut form,Poznámka,Note,,,,
haircutNoteSectionDescription,Trip detail / Booking detail,Popis,Description,,,,
haircutNoteSectionDifficulty,Trip detail / Booking detail,Náročnost,Difficulty,,,,
haircutNoteSectionFeatures,Trip detail / Booking detail,Vlastnosti,Features,,,,
haircutNoteSectionMeasurements,Trip detail / Booking detail,Délky a péče,Lengths and care,,,,
haircutNoteSectionOther,Trip detail / Booking detail,Další,Other,,,,
haircutNoteSectionOverview,Trip detail / Booking detail,Typ a období,Type and season,,,,
haircutPhotos,Haircut,Fotky,Photos,,,,
haircutStatsAvgInterval,Visit frequency stats,Průměrný interval,Average interval,,,,
haircutStatsBookCta,Visit frequency stats,Objednat nový termín,Book a new appointment,,,,
haircutStatsDaysCount,Visit frequency stats,{count} dní,{count} days,,,,
haircutStatsLink,Visit frequency stats,Statistiky návštěv,Visit statistics,,,,
haircutStatsLongestPause,Visit frequency stats,Nejdelší pauza,Longest gap,,,,
haircutStatsNextVisit,Visit frequency stats,Další návštěva,Next visit,,,,
haircutStatsRecommendedIn,Visit frequency stats,Za {count} dní,In {count} days,,,,
haircutStatsRecommendedNow,Visit frequency stats,Nyní,Now,,,,
haircutStatsStatusApproaching,Visit frequency stats,Blíží se čas na stříhání,Time is approaching,,,,
haircutStatsStatusOk,Visit frequency stats,Vše v pořádku,All good,,,,
haircutStatsStatusOverdue,Visit frequency stats,Je čas se objednat,Time to book,,,,
haircutStatsSubtitle,Visit frequency stats,Jak často se chodíte stříhat,How often you get a haircut,,,,
haircutStatsTimeline,Visit frequency stats,Historie návštěv,Visit history,,,,
haircutStatsTimelineGap,Visit frequency stats,{count} dní,{count} days,,,,
haircutStatsTitle,Visit frequency stats,Statistiky,Statistics,,,,
haircutTitle,Haircut,Střih,Haircut,,,,
helpContactEmailType,Help,Podpora e-mailem,Email support,,,,
helpContactEmailValue,Help,info@realbarber.cz,info@realbarber.cz,,,,
helpContactHoursType,Help,Hodiny podpory,Support hours,,,,
helpContactHoursValue,Help,"""Po–Pá 8:30–21:30, So–Ne 9:30–18:30""","""Mon–Fri 8:30–21:30, Sat–Sun 9:30–18:30""",,,,
helpContactPhoneType,Help,Živá podpora,Live support,,,,
helpContactPhoneValue,Help,+420 608 332 881,+420 608 332 881,,,,
helpContactSubtitle,Help,"""Jsme tu kvůli rezervacím, pobočkám, barberům a čemukoli v aplikaci""","""We're here for reservations, branches, barbers, and anything in the app""",,,,
helpContactSupport,Help,Kontaktovat podporu,Contact Support,,,,
helpContactUs,Help,Kontaktujte nás,Contact Us,,,,
helpFaq,Help,Časté dotazy,Frequently Asked Questions,,,,
helpFaq10Q,Help,Kde změním oznámení nebo jazyk?,Where do I change notifications or language?,,,,
helpFaq1Q,Help,Jak si rezervuji návštěvu u barbera?,How do I book an appointment?,,,,
helpFaq2Q,Help,Mohu změnit nebo zrušit rezervaci?,Can I change or cancel a booking?,,,,
helpFaq3Q,Help,Proč mě aplikace žádá o přihlášení?,Why does the app ask me to sign in?,,,,
helpFaq4Q,Help,Jak fungují oblíbené?,How do favorites work?,,,,
helpFaq5Q,Help,Mohu si produkt z katalogu koupit přímo v aplikaci?,Can I buy a product from the catalogue in the app?,,,,
helpFaq6Q,Help,Co je sekce „Můj styl“?,What is “My style”?,,,,
helpFaq7Q,Help,Kde najdu pobočku na mapě?,Where do I find branches on the map?,,,,
helpFaq8Q,Help,Co znamená „Kudy k nám“?,What does “How to get to us” mean?,,,,
helpFaq9Q,Help,Jak napíšu recenzi na pobočku nebo barbera?,How do I leave a review for a branch or barber?,,,,
helpTitle,Help,Nápověda a podpora,Help & Support,,,,
homeBarbers,Real Barber home screen,Barbeři,Barbers,,,,
homeBarbersSubtitle,Real Barber home screen,Najdi svého,Find yours,,,,
homeBookings,Real Barber home screen,Rezervace,Bookings,,,,
homeBookingsSubtitle,Real Barber home screen,Všechny mé rezervace,All my bookings,,,,
homeBranches,Real Barber home screen,Pobočky,Branches,,,,
homeBranchesSubtitle,Real Barber home screen,Vyber místo,Choose a location,,,,
homeContinueSearchBarbershops,Common,Najít pobočku na mapě,Find a branch on the map,,,,
homeCouponCopyCode,Real Barber home screen,Zkopírovat kód,Copy code,,,,
homeCouponDescriptionLabel,Real Barber home screen,Popis,Description,,,,
homeCouponDetailBenefitLabel,Real Barber home screen,Výhoda,Benefit,,,,
homeCouponDetailNotFound,Real Barber home screen,Tato nabídka už není k dispozici.,This offer is no longer available.,,,,
homeCouponDetailScopeLabel,Real Barber home screen,Kde platí,Where it applies,,,,
homeCouponLimitedScope,Real Barber home screen,"""Pouze u vybraných poboček, služeb nebo holičů""","""Limited to selected branches, services or staff""",,,,
homeCouponSheetCodeLabel,Real Barber home screen,Kód kupónu,Coupon code,,,,
homeCouponValidityLabel,Real Barber home screen,Platnost,Validity,,,,
homeCouponValidityPillFrom,Real Barber home screen,Od,From,,,,
homeCouponValidityPillUntil,Real Barber home screen,Do,Until,,,,
homeCreateBooking,Real Barber home screen,Objednat se,Book now,,,,
homeCreateBookingSubtitle,Real Barber home screen,Vyber službu a čas,Choose a service and time,,,,
homeHaircuts,Real Barber home screen,Účesy,Hairstyles,,,,
homePromoBadgeCoupon,Real Barber home screen,Kupón,Coupon,,,,
homePromoSectionTitle,Real Barber home screen,Tipy a nabídky,Tips & offers,,,,
homeRecentDefaultName,Real Barber home screen,Rezervace,Booking,,,,
homeRecentEmpty,Real Barber home screen,Zatím nemáte žádné rezervace.,No bookings yet.,,,,
homeRecentLoading,Real Barber home screen,Načítám…,Loading…,,,,
homeRecentTitle,Real Barber home screen,Nedávné,Recent,,,,
homeRepeatBookingTitle,Real Barber home screen,Zopakovat minulou rezervaci,Repeat last booking,,,,
homeSpotlightCurrent,Real Barber home screen,Právě probíhá,In progress,,,,
homeSpotlightOngoing,Real Barber home screen,Právě probíhá,In progress,,,,
homeSpotlightReview,Real Barber home screen,Jak jste byli spokojeni?,How was your experience?,,,,
homeSpotlightReviewRated,Real Barber home screen,Ohodnotili jste,You rated,,,,
homeSpotlightSoon,Real Barber home screen,Brzy začíná rezervace,Upcoming booking,,,,
homeSpotlightToday,Real Barber home screen,Dnes máte rezervaci,You have a booking today,,,,
homeSpotlightUpcoming,Real Barber home screen,Nadcházející rezervace,Upcoming booking,,,,
homeTodayTeamEmpty,Real Barber home screen,Dnes nemá nikdo směnu.,No barbers on shift today.,,,,
homeTodayTeamLoadError,Real Barber home screen,Nepodařilo se načíst dostupnost.,Could not load availability.,,,,
homeTodayTeamLoading,Real Barber home screen,Načítám…,Loading…,,,,
homeTodayTeamMoreSlots,Real Barber home screen,Další,More,,,,
homeTodayTeamNearestSlotsOnDate,Real Barber home screen,Nejbližší termíny {when},Nearest slots {when},,,,
homeTodayTeamNotAvailableToday,Real Barber home screen,Dnes už není dostupný,Not available today,,,,
homeTodayTeamOpenFullTeam,Real Barber home screen,Otevřít celý tým,Open full team,,,,
homeTodayTeamShiftEnded,Real Barber home screen,Dnes už jsem skončil/a,Finished for today,,,,
homeTodayTeamShiftEndingSoon,Real Barber home screen,Brzy končí - {branch},Ending soon - {branch},,,,
homeTodayTeamShiftEndsAt,Real Barber home screen,Končí v {time} - {branch},Ends at {time} - {branch},,,,
homeTodayTeamShiftInterval,Real Barber home screen,{start} - {end} - {branch},{start} - {end} - {branch},,,,
homeTodayTeamShiftStartsAt,Real Barber home screen,Začíná ve {time} - {branch},Starts at {time} - {branch},,,,
homeTodayTeamShiftStartsSoon,Real Barber home screen,Začíná za chvíli - {branch},Starting soon - {branch},,,,
homeTodayTeamShiftWorking,Real Barber home screen,Právě pracuje - {branch},Working now - {branch},,,,
homeTodayTeamTitle,Real Barber home screen,Dnes k dispozici,Available today,,,,
homeTodayTeamWaitlistAlternateContactRequired,Real Barber home screen,Vyplňte telefon nebo e-mail.,Enter a phone number or email.,,,,
homeTodayTeamWaitlistAlternateEmailLabel,Real Barber home screen,E-mail,Email,,,,
homeTodayTeamWaitlistAlternatePhoneLabel,Real Barber home screen,Telefon,Phone,,,,
homeTodayTeamWaitlistClose,Real Barber home screen,Zavřít,Close,,,,
homeTodayTeamWaitlistError,Real Barber home screen,Nepodařilo se zapsat na čekací listinu. Zkuste to znovu.,Could not join the waitlist. Please try again.,,,,
homeTodayTeamWaitlistHint,Real Barber home screen,"""Pokud se něco uvolní, ozveme se.""","""If a spot opens, we'll reach out.""",,,,
homeTodayTeamWaitlistInvalidPayload,Real Barber home screen,Zkontrolujte e-mail a zkuste to znovu.,Check your email and try again.,,,,
homeTodayTeamWaitlistJoin,Real Barber home screen,Zapsat se,Sign up,,,,
homeTodayTeamWaitlistJoined,Real Barber home screen,Jste na čekací listině,You're on the waitlist,,,,
homeTodayTeamWaitlistNeedLogin,Real Barber home screen,Pro zápis se přihlaste.,Sign in to join the waitlist.,,,,
homeTodayTeamWaitlistPreferredEmail,Real Barber home screen,E-mail,Email,,,,
homeTodayTeamWaitlistPreferredEmailPlaceholder,Real Barber home screen,vas@email.cz,you@email.com,,,,
homeTodayTeamWaitlistPreferredPhone,Real Barber home screen,Telefon,Phone,,,,
homeTodayTeamWaitlistPreferredPickerTitle,Real Barber home screen,Jak vás máme kontaktovat?,How should we contact you?,,,,
homeTodayTeamWaitlistPreferredSection,Real Barber home screen,Jak vás máme kontaktovat?,How should we contact you?,,,,
homeTodayTeamWaitlistPreferredSms,Real Barber home screen,SMS,SMS,,,,
homeTodayTeamWaitlistPreferredTelegram,Real Barber home screen,Telegram,Telegram,,,,
homeTodayTeamWaitlistPreferredWhatsapp,Real Barber home screen,WhatsApp,WhatsApp,,,,
homeTodayTeamWaitlistRateLimited,Real Barber home screen,Příliš mnoho pokusů. Zkuste to za chvíli.,Too many attempts. Please try again in a moment.,,,,
homeTodayTeamWaitlistSheetTitle,Real Barber home screen,Čekací listina,Waitlist,,,,
homeTodayTeamWaitlistSubmit,Real Barber home screen,Zapsat se,Sign up,,,,
homeTodayTeamWaitlistSubmitting,Real Barber home screen,Odesílám…,Sending…,,,,
homeTodayTeamWaitlistSuccessTitle,Real Barber home screen,Jste na čekací listině,You're on the waitlist,,,,
homeTodayTeamWaitlistUseOtherContact,Real Barber home screen,Jiný telefon/email,Other phone/email,,,,
howToGetToUs,Common,Kudy k nám?,How to get to us?,,,,
inspiraceDetailAbout,Services,O účesu,About the haircut,,,,
inspiraceDetailAvailabilityMessage,Services,"""Dobrý den, chtěl/a bych si rezervovat tento účes""","""Hello, I would like to book this haircut""",,,,
inspiraceDetailBackToInspirace,Services,Zpět na inspiraci,Back to inspiration,,,,
inspiraceDetailDifficulty,Services,Obtížnost stylingů,Styling difficulty,,,,
inspiraceDetailFaceShapes,Services,Tvar obličeje,Face shape,,,,
inspiraceDetailForWho,Services,Pro koho,For whom,,,,
inspiraceDetailGallery,Services,Galerie,Gallery,,,,
inspiraceDetailHairLengths,Services,Délka vlasů,Hair length,,,,
inspiraceDetailHairProperties,Services,Vlastnosti vlasů,Hair properties,,,,
inspiraceDetailHairTypes,Services,Typ vlasů,Hair type,,,,
inspiraceDetailMenuOpen,Services,Možnosti účesu,Hairstyle options,,,,
inspiraceDetailNotFound,Services,Účes nebyl nalezen.,Hairstyle not found.,,,,
inspiraceDetailPopularityIndex,Services,Index popularity,Popularity index,,,,
inspiraceDetailPreferredBarbers,Services,Kdo rád stříhá tento účes?,Who enjoys cutting this hairstyle?,,,,
inspiraceDetailSimilar,Services,Podobné účesy,Similar hairstyles,,,,
inspiraceExpandMore,Services,Zobrazit více,Show more,,,,
inspiraceLoadError,Services,Inspirace se nepodařilo načíst.,Failed to load inspiration.,,,,
inspiraceNoItems,Services,Žádné účesy k zobrazení.,No hairstyles to show.,,,,
inspiracePageIntroStylistLink,Services,stylistou,stylist,,,,
inspiracePageTitle,Services,Inspirace pro výběr pánského účesu,Inspiration for choosing a men’s haircut,,,,
isNewBadge,Home tabs (horizontal scroll under home),Nový,New,,,,
kudyBranchNotFound,Kudy,Pobočka nenalezena.,Branch not found.,,,,
kudyHowToGetToUs,Kudy,Kudy k nám,How to get to us,,,,
kudyOpenGoogleMaps,Kudy,Otevřít v Google Maps,Open in Google Maps,,,,
kudyOpenWaze,Kudy,Otevřít ve Waze,Open in Waze,,,,
kudyRideUber,Kudy,Jízda s Uberem,Ride with Uber,,,,
kudyShowVideo,Kudy,Přehrát video,Show video,,,,
kudyTransportParking,Kudy k nám,Doprava a parkování,Transport and parking,,,,
listingsExperiences,Listings (business),Zážítky,Experiences,,,,
listingsHomes,Listings (business),Domovy,Homes,,,,
listingsYourListings,Listings (business),Vaše inzeráty,Your listings,,,,
localeSelectTitle,Profile,Výběr jazyka,Choose language,,,,
localeSwitch,Profile,Přepnout jazyk,Change language,,,,
loginContinue,Auth,Pokračovat,Continue,,,,
loginForgotPassword,Auth,Zapomenuté heslo?,Forgot Password?,,,,
loginNoAccount,Auth,Nemáte účet? ,Don't have an account? ,,,,
loginOtpChallengeNotSent,Auth,SMS se nepodařilo odeslat. Zkuste to později.,We could not send an SMS. Try again later.,,,,
loginOtpChangePhone,Auth,Změnit telefon,Change phone number,,,,
loginOtpCodeLabel,Auth,Kód z SMS,SMS code,,,,
loginOtpFailed,Auth,Ověření se nezdařilo. Zkuste to znovu.,Verification failed. Try again.,,,,
loginOtpGreetingNoName,Auth,Vítáme tě v aplikaci.,Welcome to the app.,,,,
loginOtpGreetingWithName,Auth,"""Vítáme tě v aplikaci, {name}.""","""Welcome to the app, {name}.""",,,,
loginOtpInvalid,Auth,Zadejte 6místný kód.,Enter the 6-digit code.,,,,
loginOtpRequestFailed,Auth,Kód se nepodařilo odeslat. Zkuste to znovu.,Could not send the code. Please try again.,,,,
loginOtpResend,Auth,Poslat kód znovu,Resend code,,,,
loginOtpSubtitle,Auth,Zadejte kód z SMS. Platnost kódu je {minutes} minut.,Enter the code we sent by SMS. The code expires in {minutes} minutes.,,,,
loginOtpVerify,Auth,Ověřit a přihlásit se,Verify and sign in,,,,
loginPassword,Auth,Heslo,Password,,,,
loginPasswordBackToOtp,Auth,Přihlásit se přes SMS kód,Sign in with SMS code,,,,
loginPhoneStepSubtitle,Auth,Zadejte telefon — pošleme vám SMS kód pro přihlášení.,Enter your phone number — we will send you an SMS code to sign in.,,,,
loginSignUp,Auth,Registrovat se,Sign up,,,,
loginSubtitle,Auth,Přihlaste se ke svému účtu,Sign in to your account,,,,
loginTitle,Auth,Přihlásit se,Login,,,,
loginWelcomeBack,Auth,Vítejte v aplikaci Real Barber,Welcome to Real Barber,,,,
mapCentralWarehousePhoneA11y,Map,Zavolat pro domluvu nákupu nebo vyzvednutí na centrálním skladě,Call to arrange purchase or pickup at the central warehouse,,,,
mapCentralWarehousePhoneDisplay,Map,+420 774 522 114,+420 774 522 114,,,,
mapLoadingBranches,Map,Načítání poboček…,Loading branches…,,,,
